driverStandingsId,raceId,driverId,points,position,positionText,wins
421,15,4,2,17,17,0
422,15,85,2,18,18,0
423,15,83,2,19,19,0
424,15,19,0,20,20,0
425,15,79,0,21,21,0
426,15,100,0,22,22,0
427,15,59,0,23,23,0
428,15,98,0,24,24,0
429,15,28,0,25,25,0
430,15,12,0,26,26,0
431,15,86,0,27,27,0
432,15,22,0,28,28,0
433,15,67,0,29,29,0
434,15,8,0,30,30,0
435,16,72,9,1,1,1
436,16,79,6,2,2,0
437,16,111,4,3,3,0
438,16,112,3,4,4,0
439,16,113,2,5,5,0
440,16,18,0,6,6,0
441,16,81,0,7,7,0
442,16,114,0,8,8,0
443,16,15,0,9,9,0
444,16,1,0,10,10,0
445,16,100,0,11,11,0
446,16,31,0,12,12,0
447,16,78,0,13,13,0
448,16,115,0,14,14,0
449,16,28,0,15,15,0
450,16,116,0,16,16,0
451,16,80,0,17,17,0
452,16,117,0,18,18,0
453,16,118,0,19,19,0
454,16,5,0,20,20,0
455,16,119,0,21,21,0
456,17,72,9,1,1,1
457,17,49,8,2,2,1
458,17,79,6,3,3,0
459,17,58,6,4,4,0
460,17,111,4,5,5,0
461,17,89,4,6,6,0
462,17,46,3,7,7,0
463,17,112,3,8,8,0
464,17,113,2,9,9,0
465,17,120,2,10,10,0
466,17,97,1,11,11,0
467,17,121,0,12,12,0
468,17,18,0,13,13,0
469,17,81,0,14,14,0
470,17,122,0,15,15,0
471,17,114,0,16,16,0
472,17,42,0,17,17,0
473,17,96,0,18,18,0
474,17,34,0,19,19,0
475,17,48,0,20,20,0
476,17,123,0,21,21,0
477,17,124,0,22,22,0
478,17,60,0,23,23,0
479,17,125,0,24,24,0
480,17,126,0,25,25,0
481,17,92,0,26,26,0
482,17,59,0,27,27,0
483,17,83,0,28,28,0
484,17,52,0,29,29,0
485,17,15,0,30,30,0
486,18,72,9,1,1,1
487,18,24,9,2,2,1
488,18,49,8,3,3,1
489,18,1,6,4,4,0
490,18,79,6,5,5,0
491,18,58,6,6,6,0
492,18,28,4,7,7,0
493,18,111,4,8,8,0
494,18,89,4,9,9,0
495,18,112,3,10,10,0
496,18,46,3,11,11,0
497,18,129,3,12,12,0
498,18,113,2,13,13,0
499,18,120,2,14,14,0
