raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
76,1959,1,2,Monaco Grand Prix,1959-05-10,,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix,,,,,,,,,,
77,1959,2,3,Indianapolis 500,1959-05-30,,http://en.wikipedia.org/wiki/1959_Indianapolis_500,,,,,,,,,,
78,1959,3,11,Dutch Grand Prix,1959-05-31,,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix,,,,,,,,,,
79,1959,4,6,French Grand Prix,1959-07-05,,http://en.wikipedia.org/wiki/1959_French_Grand_Prix,,,,,,,,,,
80,1959,5,13,British Grand Prix,1959-07-18,,http://en.wikipedia.org/wiki/1959_British_Grand_Prix,,,,,,,,,,
81,1959,6,17,German Grand Prix,1959-08-02,,http://en.wikipedia.org/wiki/1959_German_Grand_Prix,,,,,,,,,,
82,1959,7,18,Portuguese Grand Prix,1959-08-23,,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix,,,,,,,,,,
83,1959,8,7,Italian Grand Prix,1959-09-13,,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix,,,,,,,,,,
84,1959,9,19,United States Grand Prix,1959-12-12,,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix,,,,,,,,,,
85,1960,1,12,Argentine Grand Prix,1960-02-07,,http://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix,,,,,,,,,,
86,1960,2,2,Monaco Grand Prix,1960-05-29,,http://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix,,,,,,,,,,
87,1960,3,3,Indianapolis 500,1960-05-30,,http://en.wikipedia.org/wiki/1960_Indianapolis_500,,,,,,,,,,
88,1960,4,11,Dutch Grand Prix,1960-06-06,,http://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix,,,,,,,,,,
89,1960,5,5,Belgian Grand Prix,1960-06-19,,http://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix,,,,,,,,,,
90,1960,6,6,French Grand Prix,1960-07-03,,http://en.wikipedia.org/wiki/1960_French_Grand_Prix,,,,,,,,,,
91,1960,7,1,British Grand Prix,1960-07-16,,http://en.wikipedia.org/wiki/1960_British_Grand_Prix,,,,,,,,,,
92,1960,8,15,Portuguese Grand Prix,1960-08-14,,http://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix,,,,,,,,,,
93,1960,9,7,Italian Grand Prix,1960-09-04,,http://en.wikipedia.org/wiki/1960_Italian_Grand_Prix,,,,,,,,,,
94,1960,10,20,United States Grand Prix,1960-11-20,,http://en.wikipedia.org/wiki/1960_United_States_Grand_Prix,,,,,,,,,,
95,1961,1,2,Monaco Grand Prix,1961-05-14,,http://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix,,,,,,,,,,
96,1961,2,11,Dutch Grand Prix,1961-05-22,,http://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix,,,,,,,,,,
97,1961,3,5,Belgian Grand Prix,1961-06-18,,http://en.wikipedia.org/wiki/1961_Belgian_Grand_Prix,,,,,,,,,,
98,1961,4,6,French Grand Prix,1961-07-02,,http://en.wikipedia.org/wiki/1961_French_Grand_Prix,,,,,,,,,,
99,1961,5,13,British Grand Prix,1961-07-15,,http://en.wikipedia.org/wiki/1961_British_Grand_Prix,,,,,,,,,,
100,1961,6,8,German Grand Prix,1961-08-06,,http://en.wikipedia.org/wiki/1961_German_Grand_Prix,,,,,,,,,,
101,1961,7,7,Italian Grand Prix,1961-09-10,,http://en.wikipedia.org/wiki/1961_Italian_Grand_Prix,,,,,,,,,,
102,1961,8,21,United States Grand Prix,1961-10-08,,http://en.wikipedia.org/wiki/1961_United_States_Grand_Prix,,,,,,,,,,
103,1962,1,11,Dutch Grand Prix,1962-05-20,,http://en.wikipedia.org/wiki/1962_Dutch_Grand_Prix,,,,,,,,,,
104,1962,2,2,Monaco Grand Prix,1962-06-03,,http://en.wikipedia.org/wiki/1962_Monaco_Grand_Prix,,,,,,,,,,
105,1962,3,5,Belgian Grand Prix,1962-06-17,,http://en.wikipedia.org/wiki/1962_Belgian_Grand_Prix,,,,,,,,,,
106,1962,4,10,French Grand Prix,1962-07-08,,http://en.wikipedia.org/wiki/1962_French_Grand_Prix,,,,,,,,,,
107,1962,5,13,British Grand Prix,1962-07-21,,http://en.wikipedia.org/wiki/1962_British_Grand_Prix,,,,,,,,,,
108,1962,6,8,German Grand Prix,1962-08-05,,http://en.wikipedia.org/wiki/1962_German_Grand_Prix,,,,,,,,,,
109,1962,7,7,Italian Grand Prix,1962-09-16,,http://en.wikipedia.org/wiki/1962_Italian_Grand_Prix,,,,,,,,,,
110,1962,8,21,United States Grand Prix,1962-10-07,,http://en.wikipedia.org/wiki/1962_United_States_Grand_Prix,,,,,,,,,,
111,1962,9,22,South African Grand Prix,1962-12-29,,http://en.wikipedia.org/wiki/1962_South_African_Grand_Prix,,,,,,,,,,
112,1963,1,2,Monaco Grand Prix,1963-05-26,,http://en.wikipedia.org/wiki/1963_Monaco_Grand_Prix,,,,,,,,,,
113,1963,2,5,Belgian Grand Prix,1963-06-09,,http://en.wikipedia.org/wiki/1963_Belgian_Grand_Prix,,,,,,,,,,
114,1963,3,11,Dutch Grand Prix,1963-06-23,,http://en.wikipedia.org/wiki/1963_Dutch_Grand_Prix,,,,,,,,,,
115,1963,4,6,French Grand Prix,1963-06-30,,http://en.wikipedia.org/wiki/1963_French_Grand_Prix,,,,,,,,,,
116,1963,5,1,British Grand Prix,1963-07-20,,http://en.wikipedia.org/wiki/1963_British_Grand_Prix,,,,,,,,,,
117,1963,6,8,German Grand Prix,1963-08-04,,http://en.wikipedia.org/wiki/1963_German_Grand_Prix,,,,,,,,,,
118,1963,7,7,Italian Grand Prix,1963-09-08,,http://en.wikipedia.org/wiki/1963_Italian_Grand_Prix,,,,,,,,,,
119,1963,8,21,United States Grand Prix,1963-10-06,,http://en.wikipedia.org/wiki/1963_United_States_Grand_Prix,,,,,,,,,,
120,1963,9,23,Mexican Grand Prix,1963-10-27,,http://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix,,,,,,,,,,
121,1963,10,22,South African Grand Prix,1963-12-28,,http://en.wikipedia.org/wiki/1963_South_African_Grand_Prix,,,,,,,,,,
122,1964,1,2,Monaco Grand Prix,1964-05-10,,http://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix,,,,,,,,,,
123,1964,2,11,Dutch Grand Prix,1964-05-24,,http://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix,,,,,,,,,,
124,1964,3,5,Belgian Grand Prix,1964-06-14,,http://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix,,,,,,,,,,
125,1964,4,10,French Grand Prix,1964-06-28,,http://en.wikipedia.org/wiki/1964_French_Grand_Prix,,,,,,,,,,
126,1964,5,24,British Grand Prix,1964-07-11,,http://en.wikipedia.org/wiki/1964_British_Grand_Prix,,,,,,,,,,
127,1964,6,8,German Grand Prix,1964-08-02,,http://en.wikipedia.org/wiki/1964_German_Grand_Prix,,,,,,,,,,
128,1964,7,25,Austrian Grand Prix,1964-08-23,,http://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix,,,,,,,,,,
129,1964,8,7,Italian Grand Prix,1964-09-06,,http://en.wikipedia.org/wiki/1964_Italian_Grand_Prix,,,,,,,,,,
130,1964,9,21,United States Grand Prix,1964-10-04,,http://en.wikipedia.org/wiki/1964_United_States_Grand_Prix,,,,,,,,,,
131,1964,10,23,Mexican Grand Prix,1964-10-25,,http://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix,,,,,,,,,,
132,1965,1,22,South African Grand Prix,1965-01-01,,http://en.wikipedia.org/wiki/1965_South_African_Grand_Prix,,,,,,,,,,
133,1965,2,2,Monaco Grand Prix,1965-05-30,,http://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix,,,,,,,,,,
134,1965,3,5,Belgian Grand Prix,1965-06-13,,http://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix,,,,,,,,,,
135,1965,4,26,French Grand Prix,1965-06-27,,http://en.wikipedia.org/wiki/1965_French_Grand_Prix,,,,,,,,,,
136,1965,5,1,British Grand Prix,1965-07-10,,http://en.wikipedia.org/wiki/1965_British_Grand_Prix,,,,,,,,,,
137,1965,6,11,Dutch Grand Prix,1965-07-18,,http://en.wikipedia.org/wiki/1965_Dutch_Grand_Prix,,,,,,,,,,
138,1965,7,8,German Grand Prix,1965-08-01,,http://en.wikipedia.org/wiki/1965_German_Grand_Prix,,,,,,,,,,
139,1965,8,7,Italian Grand Prix,1965-09-12,,http://en.wikipedia.org/wiki/1965_Italian_Grand_Prix,,,,,,,,,,
