constructorStandingsId,raceId,constructorId,points,position,positionText,wins
803,135,92,6,5,5,0
804,135,93,2,6,6,0
805,135,95,1,7,7,0
806,135,94,0,8,8,0
807,135,1,0,9,9,0
808,135,79,0,10,10,0
809,135,97,0,11,11,0
810,135,98,0,12,12,0
811,135,99,0,13,13,0
812,135,91,0,14,14,0
813,135,100,0,15,15,0
814,135,57,0,16,16,0
815,136,71,36,1,1,4
816,136,33,31,2,2,1
817,136,6,20,3,3,0
818,136,56,8,4,4,0
819,136,92,7,5,5,0
820,136,93,2,6,6,0
821,136,95,1,7,7,0
822,136,94,0,8,8,0
823,136,1,0,9,9,0
824,136,79,0,10,10,0
825,136,97,0,11,11,0
826,136,98,0,12,12,0
827,136,99,0,13,13,0
828,136,91,0,14,14,0
829,136,100,0,15,15,0
830,136,57,0,16,16,0
831,137,71,45,1,1,5
832,137,33,37,2,2,1
833,137,6,20,3,3,0
834,137,92,11,4,4,0
835,137,56,8,5,5,0
836,137,93,2,6,6,0
837,137,95,2,7,7,0
838,137,94,0,8,8,0
839,137,79,0,9,9,0
840,137,1,0,10,10,0
841,137,97,0,11,11,0
842,137,98,0,12,12,0
843,137,99,0,13,13,0
844,137,91,0,14,14,0
845,137,100,0,15,15,0
846,137,57,0,16,16,0
847,138,71,54,1,1,6
848,138,33,39,2,2,1
849,138,6,21,3,3,0
850,138,92,15,4,4,0
851,138,56,11,5,5,0
852,138,93,2,6,6,0
853,138,95,2,7,7,0
854,138,94,0,8,8,0
855,138,79,0,9,9,0
856,138,1,0,10,10,0
857,138,97,0,11,11,0
858,138,98,0,12,12,0
859,138,99,0,13,13,0
860,138,91,0,14,14,0
861,138,100,0,15,15,0
862,138,57,0,16,16,0
863,139,71,54,1,1,6
864,139,33,42,2,2,2
865,139,6,24,3,3,0
866,139,92,19,4,4,0
867,139,56,13,5,5,0
868,139,93,2,6,6,0
869,139,95,2,7,7,0
870,139,79,1,8,8,0
871,139,94,0,9,9,0
872,139,1,0,10,10,0
873,139,97,0,11,11,0
874,139,98,0,12,12,0
875,139,99,0,13,13,0
876,139,91,0,14,14,0
877,139,100,0,15,15,0
878,139,57,0,16,16,0
879,140,71,54,1,1,6
880,140,33,45,2,2,3
881,140,6,26,3,3,0
882,140,92,24,4,4,0
883,140,56,14,5,5,0
884,140,93,2,6,6,0
885,140,95,2,7,7,0
886,140,79,1,8,8,0
887,140,94,0,9,9,0
888,140,1,0,10,10,0
889,140,97,0,11,11,0
890,140,98,0,12,12,0
891,140,99,0,13,13,0
892,140,91,0,14,14,0
893,140,100,0,15,15,0
894,140,57,0,16,16,0
895,141,71,54,1,1,6
896,141,33,45,2,2,3
897,141,92,27,3,3,0
898,141,6,26,4,4,0
899,141,56,14,5,5,0
900,141,95,11,6,6,1
901,141,93,5,7,7,0
902,141,79,2,8,8,0
903,141,94,0,9,9,0
904,141,1,0,10,10,0
905,141,97,0,11,11,0
906,141,98,0,12,12,0
907,141,99,0,13,13,0
908,141,91,0,14,14,0
909,141,100,0,15,15,0
910,141,57,0,16,16,0
911,142,33,9,1,1,1
912,142,6,6,2,2,0
913,142,57,0,3,3,0
914,142,71,0,4,4,0
915,142,93,0,5,5,0
916,142,79,0,6,6,0
917,142,101,0,7,7,0
918,142,92,0,8,8,0
919,142,102,0,9,9,0
920,143,6,15,1,1,1
921,143,33,9,2,2,1
922,143,57,6,3,3,0
923,143,101,3,4,4,0
924,143,103,0,5,5,0
925,143,71,0,6,6,0
926,143,79,0,7,7,0
927,143,93,0,8,8,0
928,143,92,0,9,9,0
929,143,102,0,10,10,0
930,143,104,0,11,11,0
931,144,6,21,1,1,1
