resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
21835,905,768,45,6.0,3,1.0,1,1,25.0,71,1:27:54.976,5274976.0,50.0,6.0,1:12.598,214.518,1
21836,905,774,45,44.0,9,2.0,2,2,18.0,71,+1.932,5276908.0,41.0,2.0,1:12.217,215.650,1
21837,905,799,137,77.0,2,3.0,3,3,15.0,71,+8.172,5283148.0,63.0,3.0,1:12.581,214.568,1
21838,905,749,137,19.0,1,4.0,4,4,12.0,71,+17.358,5292334.0,63.0,4.0,1:12.586,214.553,1
21839,905,742,6,14.0,4,5.0,5,5,10.0,71,+18.553,5293529.0,58.0,5.0,1:12.595,214.527,1
21840,905,794,192,11.0,15,6.0,6,6,8.0,71,+28.546,5303522.0,59.0,1.0,1:12.142,215.874,1
21841,905,803,114,20.0,6,7.0,7,7,6.0,71,+32.031,5307007.0,53.0,7.0,1:12.746,214.081,1
21842,905,795,185,3.0,5,8.0,8,8,4.0,71,+43.522,5318498.0,55.0,10.0,1:13.060,213.161,1
21843,905,786,192,27.0,10,9.0,9,9,2.0,71,+44.137,5319113.0,60.0,11.0,1:13.156,212.882,1
21844,905,741,6,7.0,8,10.0,10,10,1.0,71,+47.777,5322753.0,55.0,9.0,1:12.884,213.676,1
21845,905,738,114,22.0,11,11.0,11,11,0.0,71,+50.966,5325942.0,60.0,8.0,1:12.858,213.752,1
21846,905,793,197,13.0,13,12.0,12,12,0.0,70,,,64.0,12.0,1:13.187,212.791,15
21847,905,776,176,99.0,16,13.0,13,13,0.0,70,,,59.0,14.0,1:13.709,211.284,15
21848,905,784,197,8.0,22,14.0,14,14,0.0,70,,,42.0,15.0,1:13.953,210.587,15
21849,905,800,198,17.0,18,15.0,15,15,0.0,69,,,65.0,19.0,1:14.476,209.108,2
21850,905,785,199,10.0,19,16.0,16,16,0.0,69,,,40.0,22.0,1:15.274,206.892,2
21851,905,801,198,4.0,21,17.0,17,17,0.0,69,,,40.0,21.0,1:14.847,208.072,2
21852,905,805,199,9.0,20,18.0,18,18,0.0,69,,,33.0,20.0,1:14.672,208.560,2
21853,905,798,176,21.0,17,19.0,19,19,0.0,69,,,53.0,16.0,1:14.036,210.351,2
21854,905,796,186,25.0,14,,R,20,0.0,59,,,55.0,13.0,1:13.317,212.414,37
21855,905,777,185,1.0,12,,R,21,0.0,34,,,30.0,17.0,1:14.254,209.734,59
21856,905,804,186,26.0,7,,R,22,0.0,24,,,23.0,18.0,1:14.332,209.514,30
21857,906,774,45,44.0,6,1.0,1,1,25.0,52,2:26:52.094,8812094.0,26.0,1.0,1:37.176,218.239,1
21858,906,799,137,77.0,14,2.0,2,2,18.0,52,+30.135,8842229.0,34.0,4.0,1:38.264,215.822,1
21859,906,795,185,3.0,8,3.0,3,3,15.0,52,+46.495,8858589.0,34.0,7.0,1:38.459,215.395,1
21860,906,738,114,22.0,3,4.0,4,4,12.0,52,+47.390,8859484.0,52.0,5.0,1:38.284,215.778,1
21861,906,777,185,1.0,2,5.0,5,5,10.0,52,+53.864,8865958.0,52.0,2.0,1:37.481,217.556,1
21862,906,742,6,14.0,16,6.0,6,6,8.0,52,+59.946,8872040.0,52.0,8.0,1:38.587,215.115,1
21863,906,803,114,20.0,5,7.0,7,7,6.0,52,+1:02.563,8874657.0,32.0,10.0,1:38.677,214.919,1
21864,906,786,192,27.0,4,8.0,8,8,4.0,52,+1:28.692,8900786.0,52.0,9.0,1:38.625,215.032,1
21865,906,804,186,26.0,9,9.0,9,9,2.0,52,+1:29.340,8901434.0,45.0,6.0,1:38.407,215.509,1
21866,906,796,186,25.0,10,10.0,10,10,1.0,51,,,44.0,13.0,1:39.261,213.654,15
21867,906,794,192,11.0,7,11.0,11,11,0.0,51,,,41.0,11.0,1:38.716,214.834,15
